Title,Year,Authors,Venue,PublicationType,JournalTier,Field,StudyType,DataType,DLW_Related,DLW_Signal,DataProvided,CodeProvided,ReplicationPackage,DOI,URL,OpenAlexID,SearchTerm
Artificial Intelligence and Enterprise Export Price Markup in China’s Economy: Based on Large Language Models,2026,Zhaosong Li; Weiwen Qian,International Journal of Economic Sciences,Journal article,OtherJournal,Industrial organization,Empirical,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.31181/ijes1512026255,https://doi.org/10.31181/ijes1512026255,https://openalex.org/W7124284731,markup
Balancing profitability and waste reduction: optimizing markdown policies for retail inventory,2026,Lena Riesenegger; Alexander Hübner,International Journal of Production Research,Journal article,OtherJournal,Industrial organization,Unknown,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.1080/00207543.2025.2603570,https://doi.org/10.1080/00207543.2025.2603570,https://openalex.org/W7123928481,markdown
IPR Protection and Markup in China: Balancing Innovation Incentives and Markup Distortions,2026,Lihao Wang; Jiwen Chai; Song Nie; Shangrong Han,Economic Modelling,Journal article,OtherJournal,Industrial organization,Unknown,Country-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.1016/j.econmod.2026.107488,https://doi.org/10.1016/j.econmod.2026.107488,https://openalex.org/W7124561443,markup
"Are Operating Margin, Markup and Unit Margin Good for Profit? An Approach Based on Microeconomic Theory",2025,Louis de Mesnard,Managerial and Decision Economics,Journal article,OtherJournal,Industrial organization,Method,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.1002/mde.4535,https://doi.org/10.1002/mde.4535,https://openalex.org/W4409182274,markup
Average markup and welfare in Cournot oligopoly with environmental policies,2025,Luca Correani; Patrizio Morganti,Review of Economic Design,Journal article,OtherJournal,Industrial organization,Unknown,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.1007/s10058-025-00380-6,https://doi.org/10.1007/s10058-025-00380-6,https://openalex.org/W4410429210,markup
Digital Product Imports and Markups: Evidence From Chinese Multi‐Product Exporters,2025,Chunyuan Zhang; Guoda Gu; Hongsheng Zhang,World Economy,Journal article,OtherJournal,Industrial organization,Empirical,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.1111/twec.70019,https://doi.org/10.1111/twec.70019,https://openalex.org/W4413003188,markup
Do larger firms exert more market power? Markups and markdowns along the size distribution,2025,Matthias Mertens; Bernardo Mottironi,Economics Letters,Journal article,OtherJournal,Industrial organization,Unknown,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.1016/j.econlet.2025.112500,https://doi.org/10.1016/j.econlet.2025.112500,https://openalex.org/W4412425195,markup
Firm markups and the economic value of innovation,2025,Ralf Martin; Jenniffer Solórzano Mosquera; Catherine Thomas; Dennis Verhoeven,International Journal of Industrial Organization,Journal article,OtherJournal,Industrial organization,Unknown,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.1016/j.ijindorg.2025.103186,https://doi.org/10.1016/j.ijindorg.2025.103186,https://openalex.org/W4412736288,markup
From Markups to Competitive Optimization: The Dual Role of Science and Technology Policies in Innovation,2025,Xinfang Xia,Chinese Economy,Journal article,OtherJournal,Industrial organization,Unknown,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.1080/10971475.2025.2588893,https://doi.org/10.1080/10971475.2025.2588893,https://openalex.org/W7108223076,markup
Industrial robot application and markup rates: Evidence from Chinese manufacturing firms (2011-2022),2025,Luyu Wang; Fang Qi-yun; Jisen Zhang,Finance research letters,Journal article,OtherJournal,Industrial organization,Empirical,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.1016/j.frl.2025.107467,https://doi.org/10.1016/j.frl.2025.107467,https://openalex.org/W4409716869,markup
"Key industrial policy, market competition and firms’ markup: Evidence from China",2025,Guifu Chen; Hongwei Yuan,Economic Modelling,Journal article,OtherJournal,Industrial organization,Empirical,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.1016/j.econmod.2025.107245,https://doi.org/10.1016/j.econmod.2025.107245,https://openalex.org/W4412558181,markup
"Markup dispersion, industry coverage and the cost of environmental regulation",2025,Haoyang Li; nan wu; Jinhua Zhao,Journal of Environmental Economics and Management,Journal article,OtherJournal,Industrial organization,Unknown,Industry-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.1016/j.jeem.2025.103130,https://doi.org/10.1016/j.jeem.2025.103130,https://openalex.org/W4407269591,markup
The Impact of Economic Policy Uncertainty on Firm Markups and Business Sustainability: The Moderating Effect of Irreversible Investment and Innovation,2025,Xingqun Xue; Xinyu Zhou; Xiaofeng Zhang; Xinying Yang,Sustainability,Journal article,OtherJournal,Industrial organization,Theory,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.3390/su17114996,https://doi.org/10.3390/su17114996,https://openalex.org/W4410862983,markup
Value Effect of Public Data Access—A Perspective Based on Manufacturing Firms' Markup,2025,Shuangyan Li; Dan Wang; Jun Wen,Managerial and Decision Economics,Journal article,OtherJournal,Industrial organization,Empirical,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.1002/mde.4542,https://doi.org/10.1002/mde.4542,https://openalex.org/W4409667284,markup
"Wine, markups, and export behavior: Evidence from Hungary",2025,Gergely Csurilla; Zoltán Bakucs; Imre Fertő,Journal of Wine Economics,Journal article,OtherJournal,Industrial organization,Empirical,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.1017/jwe.2025.7,https://doi.org/10.1017/jwe.2025.7,https://openalex.org/W4410402368,markup
A two-level supply chain coordination model for perishable products under optimal markdown time and trade credit policies,2024,Mostafa Setak; Madjid Tavana; Hossein Talafi Daryani,OPSEARCH,Journal article,OtherJournal,Industrial organization,Theory,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.1007/s12597-024-00765-1,https://doi.org/10.1007/s12597-024-00765-1,https://openalex.org/W4399850182,markdown
Can the expansion of market size increase firm markup? Evidence from China,2024,Gang An; Wang Jia,Applied Economics Letters,Journal article,OtherJournal,Industrial organization,Empirical,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.1080/13504851.2024.2363982,https://doi.org/10.1080/13504851.2024.2363982,https://openalex.org/W4399508174,markup
"Common Ownership, Markups, and Corporate Governance",2024,Kenneth Khoo,SSRN Electronic Journal,Journal article,OtherJournal,Industrial organization,Unknown,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.4864154,http://dx.doi.org/10.2139/ssrn.4864154,https://openalex.org/W4399908778,markup
"Gain without pain? Non‐tariff measures, plant markup, and productivity",2024,Massimiliano Calì; Marco Le Moglie; Giorgio Presidente,Review of International Economics,Journal article,OtherJournal,Industrial organization,Empirical,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.1111/roie.12731,https://doi.org/10.1111/roie.12731,https://openalex.org/W4391477370,markup
How power structure and markup schemes impact supply chain channel efficiency under price-dependent stochastic demand,2024,Eunji Lee; Stefan Minner,European Journal of Operational Research,Journal article,OtherJournal,Industrial organization,Empirical,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.1016/j.ejor.2024.05.019,https://doi.org/10.1016/j.ejor.2024.05.019,https://openalex.org/W4396793883,markup
Identifying Firm vs. Product Markups Using Production Data: Micro Estimates and Aggregate Implications,2024,Scott Orr; Peter Morrow; Swapnika Rachapalli; John Cairncross,SSRN Electronic Journal,Journal article,OtherJournal,Industrial organization,Empirical,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.4903621,http://doi.org/10.2139/ssrn.4903621,https://openalex.org/W4401249900,markup
"Markups, profit shares, and cost-push-profit-led inflation",2024,Michalis Nikiforos; Simon Grothe; Jan David Weber,Industrial and Corporate Change,Journal article,OtherJournal,Industrial organization,Empirical,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.1093/icc/dtae003,https://doi.org/10.1093/icc/dtae003,https://openalex.org/W4392786908,markup
On the Impact of Markups in Consumers’ Cost of Living,2024,Esteban Fernández Vázquez; Adrián Rodríguez del Valle,SSRN Electronic Journal,Journal article,OtherJournal,Industrial organization,Unknown,Individual/household,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.4700370,http://dx.doi.org/10.2139/ssrn.4700370,https://openalex.org/W4391582813,markup
Optimal Markup Pricing Strategies in a Green Supply Chain under Different Power Structures,2024,S. Li; Shuxiao Sun,Mathematics,Journal article,OtherJournal,Industrial organization,Unknown,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.3390/math12132054,https://doi.org/10.3390/math12132054,https://openalex.org/W4400207668,markup
Optimal policy against distortions caused by monopolistic competition and variable markup pricing,2024,Atsushi Tadokoro,Economics Letters,Journal article,OtherJournal,Industrial organization,Unknown,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.1016/j.econlet.2024.111627,https://doi.org/10.1016/j.econlet.2024.111627,https://openalex.org/W4392368897,markup
Optimizing Price Markup: The Impact of Power Purchase Agreements and Energy Production Uncertainty on the Economic Performance of Onshore and Offshore Wind Farms,2024,Antonio Perrelli; Eduardo Aguiar de Sodré; André V. R. N. Silva; Caarem D. S. Studzinski; Vinícius F. Silva; Dalton F. G. Filho; Armando Temporal Neto; Alex Álisson Bandeira Santos,International Journal of Energy Economics and Policy,Journal article,OtherJournal,Industrial organization,Unknown,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.32479/ijeep.16637,http://dx.doi.org/10.32479/ijeep.16637,https://openalex.org/W4402335161,markup
"Productivity, Markups, and Reallocation: Evidence From French Manufacturing Firms From 1994 to 2016",2024,Enrico De Monte,SSRN Electronic Journal,Journal article,OtherJournal,Industrial organization,Empirical,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.4726081,http://dx.doi.org/10.2139/ssrn.4726081,https://openalex.org/W4391827536,markup
RETRACTED ARTICLE: Enhancing Digital Economy: Optimizing Export Enterprise Markup and Resource Allocation Efficiency,2024,Hankun Yuan; Gangdong Peng; Changhao Song; Luyu Wang; Siyu Lu,Journal of the Knowledge Economy,Journal article,OtherJournal,Industrial organization,Unknown,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.1007/s13132-024-02142-1,https://doi.org/10.1007/s13132-024-02142-1,https://openalex.org/W4399753362,markup
The digital economy and markup: Based on herd behavior and peer effect,2024,Xianfeng Zhang; D. Chen; Yanyun Li,Journal of International Trade & Economic Development,Journal article,OtherJournal,Industrial organization,Unknown,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.1080/09638199.2024.2302534,https://doi.org/10.1080/09638199.2024.2302534,https://openalex.org/W4390952316,markup
The impact of enterprise markups on changes in the CPI in Poland,2024,Aneta Kosztowniak,Journal of Management and Financial Sciences,Journal article,OtherJournal,Industrial organization,Theory,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.33119/jmfs.2024.51.1,http://dx.doi.org/10.33119/jmfs.2024.51.1,https://openalex.org/W4402442352,markup
The impact of environmental regulation on firms’ markups: evidence from China,2024,Hongshan Ai; Xiaoqing Tan; Tenglong Zhong; Yuhan Zhou,Applied Economics,Journal article,OtherJournal,Industrial organization,Method,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.1080/00036846.2024.2348819,https://doi.org/10.1080/00036846.2024.2348819,https://openalex.org/W4396613453,markup
Uncovering Sophisticated Discrimination with the Help of Credence Goods Markups: Evidence from a Natural Field Experiment,2024,Jonathan Hall; Rudolf Kerschbamer; Daniel Neururer; Eric Skoog,Management Science,Journal article,OtherJournal,Industrial organization,Empirical,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.1287/mnsc.2022.02666,https://doi.org/10.1287/mnsc.2022.02666,https://openalex.org/W2959213305,markup
Aggregate Markup and Its Impact on Income Inequality: Country Panel Evidence,2023,Hyungsuk Lee; Junsang Lee,International Economic Journal,Journal article,OtherJournal,Industrial organization,Empirical,Individual/household,No,,Unknown,Unknown,Unknown,https://doi.org/10.1080/10168737.2023.2239204,https://doi.org/10.1080/10168737.2023.2239204,https://openalex.org/W4385271800,markup
Buyers’ Sourcing Strategies and Suppliers’ Markups in Bangladeshi Garments,2023,Julia Cajal-Grossi; Rocco Macchiavello; Guillermo Noguera,The Quarterly Journal of Economics,Journal article,OtherJournal,Industrial organization,Method,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.1093/qje/qjad026,https://doi.org/10.1093/qje/qjad026,https://openalex.org/W4382284237,markup
Compounded Markups in Complex Market Structures,2023,Constantin Colonescu,Athens Journal of Business & Economics,Journal article,OtherJournal,Industrial organization,Empirical,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.30958/ajbe.9-2-1,http://doi.org/10.30958/ajbe.9-2-1,https://openalex.org/W4323048145,markup
Demand trade-off between PLSs and markups in the presence of a conventional banking relationship: The case of Moroccan companies,2023,Mustapha Ziky; Nabil El Hamidi,Banks and Bank Systems,Journal article,OtherJournal,Industrial organization,Empirical,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.21511/bbs.18(2).2023.16,https://doi.org/10.21511/bbs.18(2).2023.16,https://openalex.org/W4380361496,markup
Does markup regulation restrict price hikes? Evidence from the oil industry,2023,Michael Polemis; Thanasis Stengos,Letters in Spatial and Resource Sciences,Journal article,OtherJournal,Industrial organization,Empirical,Industry-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.1007/s12076-023-00339-7,http://dx.doi.org/10.1007/s12076-023-00339-7,https://openalex.org/W4362581762,markup
Effects of price cap regulation on pharmaceutical supply chain under the zero markup drug policy,2023,Yu Xia; Jing Li; Zhongyang Zhang,Operational Research,Journal article,OtherJournal,Industrial organization,Unknown,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.1007/s12351-023-00796-4,http://dx.doi.org/10.1007/s12351-023-00796-4,https://openalex.org/W4386712130,markup
Export duration and firm markups: evidence from China,2023,Wen Yue; Qingxia Lin,Humanities and Social Sciences Communications,Journal article,OtherJournal,Industrial organization,Empirical,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.1057/s41599-023-02108-9,https://doi.org/10.1057/s41599-023-02108-9,https://openalex.org/W4386772082,markup
Financial constraints and firms’ markup: evidence from China,2023,Wen Yue; Xuefei Li,Humanities and Social Sciences Communications,Journal article,OtherJournal,Industrial organization,Empirical,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.1057/s41599-023-01630-0,https://doi.org/10.1057/s41599-023-01630-0,https://openalex.org/W4362555176,markup
Frontiers: Inequalities in Dealers’ Interest Rate Markups? A Gender- and Race-Based Analysis,2023,O. Cem Ozturk; Cheng He; Pradeep K. Chintagunta,Marketing Science,Journal article,OtherJournal,Industrial organization,Unknown,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.1287/mksc.2022.0295,https://doi.org/10.1287/mksc.2022.0295,https://openalex.org/W4387668380,markup
Incorporating Theory-Consistent Endogenous Markups into Applied General-Equilibrium Models,2023,James R. Markusen,SSRN Electronic Journal,Journal article,OtherJournal,Industrial organization,Theory,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.4433860,http://dx.doi.org/10.2139/ssrn.4433860,https://openalex.org/W4367664659,markup
Internetization and the markups of export firms: Evidence from China,2023,Guobing Shen; Binchao Shen; Ruochen Wu; Zhengyu Yuan,Economic Modelling,Journal article,OtherJournal,Industrial organization,Empirical,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.1016/j.econmod.2022.106184,https://doi.org/10.1016/j.econmod.2022.106184,https://openalex.org/W4313594390,markup
INTERREGIONAL DIFFERENTIATION OF SALES MARKUPS OF GUARANTEED (DEFAULT) ELECTRICITY SUPPLIERS BEFORE AND AFTER THE SWITCH TO THE METHOD OF ANALOGUES’ COMPARISON,2023,Oksana Mozgovaya; Boris Fain,Public Administration Issues,Journal article,OtherJournal,Industrial organization,Method,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.17323/1999-5431-2023-0-1-120-149,https://doi.org/10.17323/1999-5431-2023-0-1-120-149,https://openalex.org/W4352998649,markup
Joint Oligopoly-Oligopsony Model with Wage Markdown Power,2023,Jian Tong; Carmine Ornaghi,SSRN Electronic Journal,Journal article,OtherJournal,Industrial organization,Theory,Individual/household,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.4416919,http://dx.doi.org/10.2139/ssrn.4416919,https://openalex.org/W4366958529,markdown
Managing demand by upgrade programs and markdown pricing with a product rollover,2023,Yongbo Xiao; Chen Hu; Qian Liu,Naval Research Logistics (NRL),Journal article,OtherJournal,Industrial organization,Method,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.1002/nav.22156,https://doi.org/10.1002/nav.22156,https://openalex.org/W4387178272,markdown
Market power and markups: Malign markers for the Australian macroeconomy,2023,Andrew Leigh,Australian Economic Papers,Journal article,OtherJournal,Industrial organization,Empirical,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.1111/1467-8454.12302,http://dx.doi.org/10.1111/1467-8454.12302,https://openalex.org/W4365459867,markup
Markets and Markups: A New Empirical Framework and Evidence on Exporters from China,2023,Giancarlo Corsetti; Meredith A. Crowley; Lu Han; Huasheng Song,SSRN Electronic Journal,Journal article,OtherJournal,Industrial organization,Method,Country-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.4396817,http://dx.doi.org/10.2139/ssrn.4396817,https://openalex.org/W3143046739,markup
"Markups, organic agriculture and downstream concentration at the example of European dairy farmers",2023,Maximilian Koppenberg,Agricultural Economics,Journal article,OtherJournal,Industrial organization,Empirical,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.1111/agec.12762,https://doi.org/10.1111/agec.12762,https://openalex.org/W4319012375,markup
"Monopolistic Competition, Rising Markups, and Optimal Taxation of Participation",2023,Eren Gürer,SSRN Electronic Journal,Journal article,OtherJournal,Industrial organization,Unknown,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.4376719,http://dx.doi.org/10.2139/ssrn.4376719,https://openalex.org/W4323519502,markup
"Monopolistic competition, rising markups, and optimal taxation of participation",2023,Eren Gürer,Journal of Public Economic Theory,Journal article,OtherJournal,Industrial organization,Unknown,Individual/household,No,,Unknown,Unknown,Unknown,https://doi.org/10.1111/jpet.12661,http://dx.doi.org/10.1111/jpet.12661,https://openalex.org/W4386050389,markup
"Proximity to the Frontier, Markups, and the Response of Innovation to Foreign Competition: Evidence from Matched Production-Innovation Surveys in Chile",2023,Ana Paula Cusolito; Álvaro García-Marín; William F. Maloney,American Economic Review Insights,Journal article,OtherJournal,Industrial organization,Empirical,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.1257/aeri.20210466,http://dx.doi.org/10.1257/aeri.20210466,https://openalex.org/W4322507198,markup
Scalable Demand and Markups,2023,Enghin Atalay; Erika Frost; Alan Sorensen; Christopher J. Sullivan; Wanjia Zhu,SSRN Electronic Journal,Journal article,OtherJournal,Industrial organization,Unknown,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.4448281,http://dx.doi.org/10.2139/ssrn.4448281,https://openalex.org/W4376623463,markup
Time Use and the Efficiency of Heterogeneous Markups,2023,Brian C. Albrecht; Thomas Phelan; Nick Pretnar,SSRN Electronic Journal,Journal article,OtherJournal,Industrial organization,Unknown,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.4529701,https://doi.org/10.2139/ssrn.4529701,https://openalex.org/W4385559768,markup
Uniform vs. retailer-specific pricing: How a supplier responds to the dominant retailers’ markup pricing strategy,2023,Yao‐Yu Wang; Yue Tan; Jiancai Wang; Fujun Lai,Journal of the Operational Research Society,Journal article,OtherJournal,Industrial organization,Empirical,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.1080/01605682.2023.2173678,https://doi.org/10.1080/01605682.2023.2173678,https://openalex.org/W4321104128,markup
"Unraveling Firms: Demand, Productivity and Markups Heterogeneity",2023,Emanuele Forlani; Ralf Martin; Giordano Mion; Mirabelle Muûls,The Economic Journal,Journal article,OtherJournal,Industrial organization,Method,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.1093/ej/uead031,https://doi.org/10.1093/ej/uead031,https://openalex.org/W2260686861,markup
Alleviating demand uncertainty for seasonal goods: An analysis of attribute-based markdown policy for fashion retailers,2022,Aidin Namin; Gonca Soysal; Brian T. Ratchford,Journal of Business Research,Journal article,OtherJournal,Industrial organization,Unknown,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.1016/j.jbusres.2022.02.081,https://doi.org/10.1016/j.jbusres.2022.02.081,https://openalex.org/W4220928835,markdown
Climate Policy and Resource Extraction with Variable Markups and Imperfect Substitutes,2022,Malik Çürük; Suphi Şen,Journal of the Association of Environmental and Resource Economists,Journal article,OtherJournal,Industrial organization,Empirical,Country-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.1086/723704,https://doi.org/10.1086/723704,https://openalex.org/W4311191071,markup
Competition in the Chinese market: Foreign firms and markups,2022,Chih‐Hai Yang,Journal of the Japanese and International Economies,Journal article,OtherJournal,Industrial organization,Unknown,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.1016/j.jjie.2022.101243,https://doi.org/10.1016/j.jjie.2022.101243,https://openalex.org/W4311175798,markup
Concentration and Markups: Evidence from Retail Lotteries,2022,Brett Hollenbeck; Renato Giroldo,SSRN Electronic Journal,Journal article,OtherJournal,Industrial organization,Empirical,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.4081911,https://doi.org/10.2139/ssrn.4081911,https://openalex.org/W4226061511,markup
Concentration and Markups: Evidence from Retail Lotteries,2022,Brett Hollenbeck; Renato Giroldo,SSRN Electronic Journal,Journal article,OtherJournal,Industrial organization,Empirical,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.4081912,https://doi.org/10.2139/ssrn.4081912,https://openalex.org/W4225337052,markup
Differentiated-products Cournot attributes higher markups than Bertrand–Nash,2022,Lorenzo Magnolfi; Daniel Quint; Christopher J. Sullivan; Sarah Waldfogel,Economics Letters,Journal article,OtherJournal,Industrial organization,Unknown,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.1016/j.econlet.2022.110804,https://doi.org/10.1016/j.econlet.2022.110804,https://openalex.org/W4292136164,markup
"Double Markups, Information, and Vertical Mergers",2022,Simon Loertscher; Leslie M. Marx,The Antitrust Bulletin,Journal article,OtherJournal,Industrial organization,Theory,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.1177/0003603x221103115,https://doi.org/10.1177/0003603x221103115,https://openalex.org/W4282959934,markup
Export product quality and markup of firms: evidence from China,2022,Wen Yue,Applied Economics,Journal article,OtherJournal,Industrial organization,Empirical,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.1080/00036846.2022.2142193,https://doi.org/10.1080/00036846.2022.2142193,https://openalex.org/W4307931644,markup
"Foreign Demand, Competition Strategy, and Export Markups: Evidence from Chinese Multi‐Product Exporters",2022,Xu Ming; Tenglong Zhong; Qian Xie; Hongkui Liu,China & World Economy,Journal article,OtherJournal,Industrial organization,Empirical,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.1111/cwe.12423,https://doi.org/10.1111/cwe.12423,https://openalex.org/W4281493840,markup
How large are double markups?,2022,Elisa Duran-Micco; Jeffrey M. Perloff,International Journal of Industrial Organization,Journal article,OtherJournal,Industrial organization,Empirical,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.1016/j.ijindorg.2022.102885,https://doi.org/10.1016/j.ijindorg.2022.102885,https://openalex.org/W4306960122,markup
Human capital and firms’ markup: evidence from China,2022,Wen Yue,Journal of Applied Economics,Journal article,OtherJournal,Industrial organization,Method,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.1080/15140326.2022.2072675,https://doi.org/10.1080/15140326.2022.2072675,https://openalex.org/W4281611591,markup
